我读, 梁文道主讲、凤凰卫视出版中心编, 32.00元 
四代香港人, 呂大樂, 2007 
就算天空再深: 零八零九无常世, 林夕, 27.00元 
同志性愛聖經, 麥可·湯瑪斯·福特、MichaelThomasFord, NT$999 
周代城邦, 杜正勝, NT$120 
十二女色: 當代小說家15, 黃碧雲, 340TWD 
花花世界, 智海, 29.00元 
陽台好好玩, MyGarden花草遊戲編輯部, NTD250.00 
日本蛋糕名店的私藏秘方, 永瀨正人, NT160 
巫言, 朱天文, 35.00 
拜託！不要每個人都一樣, 曲家瑞, 新台币260元 
原来你非不快乐, 林夕, 23.80元 
关于岁月的隐秘情事, 马家辉, 24.00元 
讀書便佳, 董橋, HKD100 
殖民無間道, 羅永生, HK$96 
歷史與怪獸：歷史，暴力，敘事: 歷史，暴力，敘事, 王德威, NT$300 
不文集, 黃霑, 76.00 
中國古代的「忠」論研究, 佐藤將之, 140.00元 
放鳥過來！：性愛女寫手的嗆辣記事, 鳥來伯, 250 
音樂大歷史: 從巴比倫到披頭四, 霍華‧古鐸（HowardGoodall）, NT$450 
忘記憂愁的地方: 台客與導演的阿里山之旅, 李鼎、徐君豪, 新台币320元 
画眉记, 朱天文, 17.00元 
東京．角落: 手繪達人私房景點之旅, 菅澤佳代, NTD260.00 
我們在此撤離，只留下光, 廖偉棠, 2007 
开到荼蘼, 亦舒, 18.00元 
高处眼亮: 林怀民舞蹈岁月告白, 林怀民, 30.00元 
梦游书, 简媜, 23.00元 
手卷, 西西, 38.00 
四喜忧国, 张大春, 29.80元 
只缘身在此山中, 简媜, 18.00元 
古都, 朱天心, 16.00元 
百年好合: 民国素人志, 蒋晓云, 32.00元 
空想科學讀本, 柳田理科雄, NT$240 
偽科學鑑證1, 小克, HK$88 
何炳棣思想制度史論, 何炳棣, 2013-1-1 
仙人掌的自由时光: SABOTEN STYLE 手作的创意幸福生活, 羽兼直行, 96.00元 
傾城, 三毛, 170TWD 
不如去流浪, 羅智成、賴香吟等, 新台币380元 
天涯海角: 福尔摩沙抒情志, 简媜, 28.00元 
我开始轻视语言, 张家瑜, 29.50元 
如果墙会说话, 亦舒, 18.00元 
下課後的台灣小旅行, 貓。果然如是, 定價:NT$300 
旧情复燃, 简媜, 23.00元 
人情·世故, 林夕, 29.00元 
體物入微: 物與身體感的研究, 余舜德、李尚仁、林淑蓉、陳元朋、郭奇正、張珣、蔡怡佳、蔡璧名、鍾蔚文、顏學誠、ElisabethHsu, 定價400元 
G片工場: 那些鹹碟、那些男星、那些趣聞和異事, 邵祺邁, 300TWD 
後殖民誌: 智慧田051, 黃碧雲, TWD250 
鱷魚手記, 邱妙津, NT240 
帝國的慰安婦: 殖民統治與記憶政治, 朴裕河, NT$450 
不乖蔡康永－同情我可以親我, 蔡康永, 160 
公主之死: 你所不知道的中国法律史, 李贞德, 12.00元 
花草生活家, 台視文化生活企編部, NTD168.00 
传说, 朱天文, 29.00元 
丝慕巴黎, 郭正佩, 128.00元 
心机母女, 小S（徐熙娣）, 新台币250 
飘零一家: 从大陆到台湾的父子残局, 亮轩, 36.00元 
美容大王, 徐熙媛, 25.00元 
胭脂扣 生死桥, 李碧华, 29.00元 
印度墨, 亦舒, 19.00元 
读中文系的人: 真是想让你知道,文学是永恒感人的, 林文月, 25.00元 
总有一次哭泣，让人瞬间长大, 黄桐, 32.8 
明信片旅行主義, 顏忠賢, 新台币420元 
智慧書, 馮象, NT580 
微晕的树林, 简媜, 20.00元 
再錯也要談戀愛, 蔡康永, 台币180元 
胭脂盆地, 简媜, 23.00元 
曾经: 林夕90前后, 林夕, 28.00 
孤琴, 巫宁坤, 320（NT＄） 
孩子你慢慢来, 龙应台, 28.00元 
一千零一妙方, 亦舒, hk49 
我的前半生, 亦舒, 22.00元 
中国现代史, 张玉法, 台湾东华书局股份有限公司 
寻秦记, 黄易, 138.0 
故事, 董桥, 38.00 
青春念想, 白先勇, 24.00元 
滚石30: 1981～专辑全记录, 段书佩主编, 88.00元 
纵横四海, 亦舒, HKD45 
悲情城市, 朱天文, 16.00元 
桂花巷, 蕭麗紅, NT.300 
炎夏之都, 朱天文, 25.00元 
頂尖設計師的自我經營學, CatharineFishel, 320台币 
致我們的朋友: 資本主義反抗宣言, 隱形委員會Comitéinvisible, NT$320 
俗, 黄伟文, CNY28.00 
风中的费洛蒙, 陈升, 28.00元 
黑色的歌, 辛波絲卡(WislawaSzymborska), NT$320 
野火集: 二十年纪念版, 龙应台, 25.00元 
答同代人, 董启章, 29.00元 
生活十讲, 蒋勋, 26.00元 
揚眉女子, 黃碧雲, 1987 
微晕的树林, 簡媜, NTD280.00 
亲爱的安德烈, 龙应台、[德]安德烈, 26.00 
关于方文山的素颜韵脚诗, 方文山, 25.00元 
靜止在: 最初與最終, 袁哲生, NT$350 
七里香: 七里香, 席慕蓉, 18.00元 
文字是肉做的, 董桥, 28.00 
Happy Birth Day: 摇滚诗的诞生与转生, 阿信, 32.00元 
不用讀完一本書, Bayard,Pierre, 260TWD 
饺子, 李碧华, 20.00元 
好音樂的科學: 破解基礎樂理和美妙旋律的音階秘密, JohnPowell, 大寫出版 
紅樓夢西游記: 細評紅樓夢新英譯, 林以亮, NT150 
人在欧洲, 龙应台, 7.80元 
逛书架: 16开铜板彩印, 逛书架编辑小组, 48.00元 
小S之怀孕日记, 徐熙娣, 25.00元 
又见棕榈 又见棕榈, 於梨华, 1.30 
我愛花花世界, 米力, NT$250 
遥远的乡愁: 台湾现代民歌三十年, 重返61号公路, 28.00元 
夜奔（电影剧本）: 夜奔（電影劇本）Fleeing by Night, 王蕙玲, 250元 
巨流河, 齐邦媛, 39.00元 
忠孝公园, 陈映真, 24.00元 
死在这里也不错, 马家辉, 24.80 
花忆前身, 朱天文, 14.00元 
雜貨talk, Fion強, NT$220 
盛世恋: 台湾文学 短篇小说卷, 黄碧云, 15.8 
小S牙套日记, 徐熙娣, 20.00元 
邊境, 沃伊切赫.古瑞茨基(WojciechGórtcki), 新台幣350元 
她的二三事, 亦舒, 18.00元 
三月曝书, 林文月, 25.00 
毫无代价唱最幸福的歌, 林夕, 25.00元 
一花一葉的簡單生活, 陳姿蘭, NTD299.00 
茶韻茗事： 故宮茶話: 故宮茶話, 廖寶秀, NT$700 
L.I.F.E., 方大同, RMB100 
一个人的电影 2008-2009, 许鞍华、陈可辛, 25.00元 
Moleskine「傳奇筆記本」的活用術: 激發你記錄、創意與個性的75種使用方法, 堀正岳、中牟田洋子, NT$330 
流浪集: 也及走路、喝茶与睡觉, 舒国治, 26.00元 
我的我的天: 应霁漫画前传, 欧阳应霁, 28.00元 
你睡不著我受不了, 蔡康永, NT$150 
击壤歌, 朱天心, 24.80元 
童女之舞, 曹麗娟, 160 
龐克的哲學: 不只是噪音, 克雷格‧歐哈拉, NT$280 
最後的黃埔：老兵與離散的故事, 齊邦媛、王德威, 280NT 
房思琪的初恋乐园, 林奕含, 45.00元 
給冥王星, 張惠菁, 100.00元 
書寫與影像: 法國思想，在地實踐, 楊凱麟, NT$590 
波希米亚香港, 廖伟棠, 27.00元 
龙应台评小说, 龙应台, 14.40 
食光記憶: 12則鄉愁的滋味, 胡川安、郭婷、郭忠豪, NT$350 
欢乐英雄, 古龙, 28.00元 
今朝风日好, 董桥, 39.00元 
常识, 梁文道, 38.00 
她比烟花寂寞, （香港）亦舒, 9.80 
YILAN的台灣生活滋味, 葉怡蘭, NTD320 
历史激流：杨宽自传, 杨宽, CNY380 
茶余酒后金瓶梅, 郑培凯, 25.00元 
聲色盒子: 音效大師杜篤之的電影路, 張靚蓓, NT$350 
私房話, 岡尾美代子, NT$250.00 
下午茶话题, 朱天文、朱天心、朱天衣, 28.00元 
阅读是最浪漫的教养: 一位教养专家给双胞胎女儿的32份浪漫生活清单, 李伟文、双胞胎AB宝, 32.80元 
告别式从明天开始, 张家瑜, 32.00 
明暗: 源于影像的微琐絮语, 马家辉, 32.00元 
以箭为翅, 简媜、徐学编, 20.00元 
瘖啞與傾聽: 精神分析早期历史研究, 沈志中, 新台币420 
德芬郡奶油, 亦舒, 港币60 
目送, 龙应台, 39.00元 
从你美丽的流域, 张晓风, 20.00元 
慾望巴黎: 凱薩琳的性愛自傳, 凱薩琳·米雷, NTW270.00 
曾經深愛過: 亦舒系列55, 亦舒, hkd49 
我要活下去, 梁凤仪, 14.60 
阿修罗, 亦舒, 20.00元 
戀愛0.01的距離: 戀愛0.01的距離, 高以翔, NT$320 
電影敘事: 劇情片中的敘述活動, DavidBordwell, NT$600 
爱的一百个提醒, 许常德, 25.00 
千江有水千江月, 萧丽红, 22.00元 
洪荒三疊, 柯裕棻, NT$280 
温柔的夜, 三毛, 28.00元 
昨日书, 马世芳, 39.00元 
香港粤语流行歌词研究Ⅰ: 七十年代中期至八十年代中期, 朱耀伟, HKD120 
宇宙與歷史: 永恆回歸的神話, M.耶律亚德, 200TWD 
原鄉人: 族群的故事, 王德威, 280元 
圆舞, [加]亦舒, 17.00元 
怨女, 张爱玲, 29.80元 
潘金莲之前世今生 诱僧, 李碧华, 15.00元 
白先勇作品集, 白先勇, 9,000TWD 
大唐双龙传, 黄易, 318.00 
裙拉褲甩, 游靜, 250NTW 
我不是完美小孩, 幾米, 38.00元 
梦里花落知多少, 三毛, 28.00元 
挖開兔子洞: 深入解讀愛麗絲漫遊奇境, 路易斯·卡洛爾(LewisCarroll)原著、約翰·田尼爾(JohnTenniel)插圖、張華譯注, NTD300元 
逆插桃花: 怪談繪卷3, 李碧华, HK$47 
John Ho 少年事件: ——成長的快樂與輕狂事, JohnHo, $88 
月的另一面: 一位人類學家的日本觀察, ClaudeLévi-Strauss, NT$280 
我旅途中的男人。們, 陳克華, 380TWD 
六祖坛经 禅说 菜根谭, 蔡志忠编绘, 21.00元 
青筋: 看看手腕，誰都有條青春的筋。, 林日曦, HK$68.0 
穿著Vivienne Westwood馬甲的灰姑娘：顏忠賢+30位HI-FASHION設計師的ATTITUDE的激進, 颜忠贤, NT256 
明清檔案文書, 劉錚雲主編, NT$800 
我们不是天使, 亦舒, 9.80 
突然獨身, 葉志偉, HKD$48 
橡皮章生活雜貨, 小間敬子, NTD260 
江湖有事: 目迷·耽美（第1卷）, 马家辉, 18.00元 
FW: 永真急制, 聶永真, 96.86元 
好天气谁给题名, 仙枝, 32.80元 
我的葡萄酒生活提案, 歐菲莉‧奈曼、OphélieNeiman、亞尼斯‧瓦盧西克斯,YannisVaroutsikos, 480NTD 
逛逛書架, 陳建銘, 170 
等待香港: 永远的香港人, 林奕华, 26.00 
三个A Cup的女人, 张小娴, 16.00元 
反叛的凝視: 他們如何改變世界?: 當代美國的理想主義風景, 張鐵志、张铁志, NT$199 
論嘗試文, 黃錦樹, TWD480 
在废墟里看见罗马, 马家辉, HK$60 
第一次的亲密接触, 蔡智恒, 12.80 
猿猴志, 西西, 48.00元 
共產黨. 地方菁英. 農民: 鄂豫皖蘇區的共產革命(1922-1932), 陈耀煌, 2002 
盛夏光年, 王紀堯, 新台币199元 
电光幻影, 亦舒, 18.00元 
随想, (台湾)三毛, 11.60 
镜中爹, 张至璋, 29.00元 
病夫、黃禍與睡獅: 「西方」視野的中國形象與近代中國國族論述想像, 楊瑞松, NT280 
读者, 梁文道, 34.00元 
十年一觉电影梦: 李安传, 张靓蓓编著, 38.00元 
要多美麗，就多美麗: 亦舒系列203, 亦舒, hkd55 
神行陌路: 叶锦添的新东方主义, 叶锦添, 59.80 
台灣戰後經濟發展的源起: 後進發展的為何與如何, 瞿宛文, NTD720 
